HR,Name,DM,HD,SAO,FK5,IRFlag,r_IRFloag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs1900,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B ,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
2491,9Alp CMa,BD-16 159,48915,151881,257,I,,,5423,,,6,40,44.6,-,16,34,44,6,45,8.9,-,16,42,58,227.22,-8.88,-1.46,,,0.00,,-0.05,,-0.03,,A1Vm,,-0.553,-1.205,,0.375,-8,SBO,,13,,10.3,11.2,AB,4,*
2326,Alp Car,CP-52  91,45348,234480,245,I,,,,,,6,21,43.9,-,52,38,27,6,23,57.1,-,52,41,45,261.21,-25.29,-0.72,,,0.15,,0.10,,0.18,,F0II,,0.022,0.021,,0.028,21,,,0,,,,,,*
5340,16Alp Boo,BD+19 277,124897,100944,526,I,,,,,6603,14,11,6.0,+,19,42,11,14,15,39.7,+,19,10,57,15.14,69.11,-0.04,,,1.23,,1.27,,0.65,,K1.5IIIFe-0.5,v,-1.093,-1.998,,0.090,-5,V,<,17,,,,,,*
5459,Alp1Cen,CP-60 548,128620,252838,538,I,,W,,A,,14,32,48.3,-,60,25,22,14,39,35.9,-,60,50,7,315.78,-0.71,-0.01,,,0.71,,0.24,,0.22,E,G2V,,-3.642,0.699,,0.751,-22,SBO,,,,1.4,20.9,AB,3,*
7001,3Alp Lyr,BD+38 323,172167,67174,699,I,,,11510,,Alp Lyr,18,33,33.1,+,38,41,26,18,36,56.3,+,38,47,1,67.44,19.24,0.03,,,0.00,,-0.01,,-0.03,,A0Va,,0.202,0.286,,0.123,-14,V,,15,,10.4,62.8,AB,5,*
1708,13Alp Aur,BD+45 107,34029,40186,193,I,,,3841,,1897,5,9,18.0,+,45,53,47,5,16,41.4,+,45,59,53,162.58,4.57,0.08,,,0.80,,0.44,,0.44,,G5IIIe+G0III,v,0.076,-0.425,,0.073,30,SB2O,,,,0.5,0.0,AP,10,*
1713,19Bet Ori,BD-08 106,34085,131907,194,I,,,3823,,1882,5,9,43.9,-,8,19,1,5,14,32.3,-,8,12,6,209.24,-25.25,0.12,,,-0.03,,-0.66,,-0.02,,B8Ia:,e,0.000,-0.001,,0.013,21,SB,,33,,6.5,9.5,AB,4,*
2943,10Alp CMi,BD+05 173,61421,115756,291,I,,,6251,,3672,7,34,4.0,+,5,28,53,7,39,18.1,+,5,13,30,213.69,13.03,0.38,,,0.42,,0.02,,0.23,,F5IV-V,,-0.710,-1.023,,0.288,-3,SBO,,6,,10.4,4.6,AC,5,*
472,Alp Eri,CP-57  33,10144,232481,54,,,,,,Var,1,33,59.4,-,57,44,41,1,37,42.9,-,57,14,12,290.84,-58.79,0.46,,,-0.16,,-0.66,,-0.11,,B3Vpe,v,0.095,-0.035,,0.026,16,V,,251,,,,,,*
2061,58Alp Ori,BD+07 105,39801,113271,224,I,,,4506,,Alp Ori,5,49,45.4,+,7,23,19,5,55,10.3,+,7,24,25,199.79,-8.96,0.50,,,1.85,,2.06,,1.28,,M1-2Ia-Iab,e,0.026,0.009,,0.005,21,SB,,,,9.9,174.4,AE,6,*
